NumOfSales
100
89
81
68
55
40
25
11
7
3
149
128
108
100
94
83
67
53
49
37
26
16
11
8
5
4
2
1
0
110
92
80
72
57
54
40
22
14
7
3
1
1
1
0
0
0
0
0
0
131
100
85
72
63
53
49
42
36
28
21
13
9
6
5
2
1
1
0
0
215
181
165
141
123
105
87
68
61
53
44
34
29
25
18
13
8
3
1
0
0
16
14
8
2
1
